column00,testGroup,device,browser,browserVersion,userAgent,users,newUsers,sessions,pis,acceleratedPis,addToCartEvents,creditcardPaymentEvent,paypalPaymentEvent,applepayPaymentEvent,conversions
10,SpeedKit,Mobile,Chrome,97.0.4692.98,"Mozilla/5.0 (Linux; Android 11; CPH1937) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.98 Mobile Safari/537.36",10,8,12,21,6,1,0,0,0,0
11,SpeedKit,Mobile,Chrome,106,"Mozilla/5.0 (Linux; Android 13; SM-A528B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36",9,7,10,14,5,1,0,0,0,0
12,Control,Mobile,Chrome,103,"Mozilla/5.0 (Linux; Android 7.0; SM-G920V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
13,Control,Mobile,Safari,15.2,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1",81,57,105,195,0,8,0,0,0,0
14,Control,Robot,Chrome,96.0.4664.45,"Mozilla/5.0 (Linux; 4.4.2; Lenovo A536) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
15,Control,Desktop,Chrome,84.0.4147.105,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36",494,494,494,514,0,0,0,0,0,0
16,SpeedKit,Mobile,Chrome,80.0.3987.99,"Mozilla/5.0 (Linux; Android 9; Redmi 6A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.99 Mobile Safari/537.36",13,8,15,24,5,0,0,0,0,0
17,SpeedKit,Robot,Chrome,80.0.3987.163,"Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36",1,1,1,1,0,0,0,0,0,0
18,Control,Desktop,Safari,15.6,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6 Safari/605.1.15",74,47,87,182,0,3,3,0,0,3
19,SpeedKit,Mobile,Chrome,99.0.4844.88,"Mozilla/5.0 (Linux; Android 12; SM-M115F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.88 Mobile Safari/537.36",14,5,15,23,11,0,0,0,0,0
20,SpeedKit,Mobile,Chrome iOS,116.0.5845.177,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/116.0.5845.177 Mobile/15E148 Safari/604.1",4,1,10,18,6,0,0,0,0,0
21,SpeedKit,Mobile,Chrome,103,"Mozilla/5.0 (Linux; Android 12; RMX3085) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",4,3,5,12,4,0,0,0,0,0
22,SpeedKit,Mobile,Chrome,108,"Mozilla/5.0 (Linux; Android 13; RMX3511) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",9,8,11,13,2,0,0,0,0,0
23,SpeedKit,Mobile,Chrome,80.0.3987.99,"Mozilla/5.0 (Linux; Android 10; Infinix X680) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.99 Mobile Safari/537.36",1,0,2,5,3,0,0,0,0,0
24,Control,Robot,Chrome,116.0.0.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) adbeat.com/policy AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",38,38,38,108,0,0,0,0,0,0
25,Control,Tablet,Chrome,95.0.4638.74,"Mozilla/5.0 (Linux; Android 5.1.1; SGP311) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.74 Safari/537.36",1,1,1,1,0,0,0,0,0,0
26,SpeedKit,Mobile,Chrome,104,"Mozilla/5.0 (Linux; Android 13; I2207) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Mobile Safari/537.36",3,2,3,12,3,1,0,0,0,0
27,Control,Mobile,Chrome,109,"Mozilla/5.0 (Linux; Android 9; ASUS_X01BDA) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36",1,0,1,1,0,0,0,0,0,0
28,Control,Mobile,Chrome,104,"Mozilla/5.0 (Linux; Android 10; M2006C3LG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Mobile Safari/537.36",2,2,2,8,0,0,0,0,0,0
29,SpeedKit,Mobile,Chrome,87.0.4280.86,"Mozilla/5.0 (Linux; Android 10; SEA-AL10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.86 Mobile Safari/537.36",1,0,1,1,1,0,0,0,0,0
30,Control,Mobile,Chrome,106,"Mozilla/5.0 (Linux; Android 13; SM-G781B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
31,SpeedKit,Tablet,Chrome iOS,116.0.5845.177,"Mozilla/5.0 (iPad; CPU OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/116.0.5845.177 Mobile/15E148 Safari/604.1",3,2,3,3,0,0,0,0,0,0
32,SpeedKit,Mobile,Chrome,109,"Mozilla/5.0 (Linux; Android 8.1.0; vivo 1820) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36",5,5,5,6,0,0,0,0,0,0
33,SpeedKit,Mobile,Chrome,91.0.4472.101,"Mozilla/5.0 (Linux; Android 8.1.0; SM-G610F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.101 Mobile Safari/537.36",1,1,2,3,1,0,0,0,0,0
34,Control,Mobile,Chrome,108,"Mozilla/5.0 (Linux; Android 9; Power_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",1,0,1,1,0,1,0,0,0,0
35,SpeedKit,Mobile,Chrome iOS,113.0.5672.121,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/113.0.5672.121 Mobile/15E148 Safari/604.1",10,5,17,46,10,1,0,0,0,0
36,Control,Robot,Edge,116,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 Edg/116.0.1938.81",6,5,6,18,0,1,0,0,0,1
37,SpeedKit,Mobile,Chrome,87.0.4280.141,"Mozilla/5.0 (Linux; Android 11; SM-A032F Build/RP1A.201005.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",3,3,3,7,1,0,0,0,0,0
38,SpeedKit,Mobile,Chrome,106,"Mozilla/5.0 (Linux; Android 12; SM-M115F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36",2,1,2,4,2,0,0,0,0,0
39,Control,Mobile,Chrome,103,"Mozilla/5.0 (Linux; Android 10; M2006C3MII) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",3,1,3,5,0,0,0,0,0,0
40,SpeedKit,Mobile,Chrome,101,"Mozilla/5.0 (Linux; Android 11; CPH2059) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",2,2,2,2,0,0,0,0,0,0
41,SpeedKit,Mobile,Chrome,87.0.4280.101,"Mozilla/5.0 (Linux; Android 10; Redmi Y3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36",6,1,8,8,1,0,0,0,0,0
42,SpeedKit,Tablet,Chrome iOS,113.0.5672.121,"Mozilla/5.0 (iPad; CPU OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/113.0.5672.121 Mobile/15E148 Safari/604.1",3,0,3,8,1,0,0,0,0,0
43,SpeedKit,Robot,Chrome,102.0.5005.115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.115 Safari/537.36",5,5,5,5,0,0,0,0,0,0
44,SpeedKit,Tablet,Safari,16.5.2,"Mozilla/5.0 (iPad; CPU OS 16_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5.2 Mobile/15E148 Safari/604.1",6,3,12,21,0,0,1,0,0,1
45,Control,Mobile,Chrome,104,"Mozilla/5.0 (Linux; Android 11; POCO X2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Mobile Safari/537.36",1,1,1,4,0,0,0,0,0,0
46,SpeedKit,Mobile,Chrome,108,"Mozilla/5.0 (Linux; Android 9; SM-G950F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",4,4,4,7,2,0,0,0,0,0
47,SpeedKit,Mobile,Chrome,108,"Mozilla/5.0 (Linux; Android 12; Pixel 3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
48,SpeedKit,Mobile,Chrome,97.0.4692.70,"Mozilla/5.0 (Linux; Android 11; Mi A3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.70 Mobile Safari/537.36",1,0,1,2,0,0,0,0,0,0
49,SpeedKit,Mobile,Chrome iOS,115.0.5790.84,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/115.0.5790.84 Mobile/15E148 Safari/604.1",2,1,2,3,1,0,0,0,0,0
50,SpeedKit,Mobile,Chrome,103,"Mozilla/5.0 (Linux; Android 12; TECNO CI6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",3,3,3,3,0,0,0,0,0,0
51,Control,Mobile,Chrome,117,"Mozilla/5.0 (Linux; Android 13; RMX3381 Build/TP1A.220905.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",1,0,1,1,0,0,0,0,0,0
52,SpeedKit,Mobile,Chrome,108,"Mozilla/5.0 (Linux; Android 12; LM-G820) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",2,1,2,2,1,0,0,0,0,0
53,SpeedKit,Mobile,Chrome,100.0.4896.58,"Mozilla/5.0 (Linux; Android 9; SM-G970U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.58 Mobile Safari/537.36",1,0,2,2,2,0,0,0,0,0
54,Control,Desktop,Edge,108,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 Edg/108.0.1462.46",1,0,1,2,0,0,0,0,0,0
55,Control,Tablet,Chrome,117,"Mozilla/5.0 (Linux; Android 11; 100071481 Build/RP1A.200720.011) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",1,1,1,4,0,0,0,0,0,0
56,SpeedKit,Mobile,Chrome,91.0.4472.120,"Mozilla/5.0 (Linux; Android 10; SM-A505FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",1,1,2,4,2,0,0,0,0,0
57,Control,Mobile,Chrome,106,"Mozilla/5.0 (Linux; Android 6.0.1; SM-G900F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36",2,2,2,5,0,0,0,0,0,0
58,SpeedKit,Mobile,Chrome,83.0.4103.106,"Mozilla/5.0 (Linux; Android 11; vivo 1904) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Mobile Safari/537.36",4,3,4,5,1,0,0,0,0,0
59,SpeedKit,Mobile,Chrome,105,"Mozilla/5.0 (Linux; Android 12; S75) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
60,SpeedKit,Tablet,Chrome,95.0.4638.74,"Mozilla/5.0 (Linux; Android 5.1; Hudl 2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.74 Safari/537.36",1,1,2,10,9,0,0,0,0,0
61,SpeedKit,Mobile,Chrome,106,"Mozilla/5.0 (Linux; Android 6.0; XT1706) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
62,Control,Mobile,Chrome,108,"Mozilla/5.0 (Linux; Android 12; 2201116SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",1,1,1,2,0,0,0,0,0,0
63,Control,Mobile,Chrome,100.0.4896.127,"Mozilla/5.0 (Linux; Android 11; CPH2127) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36",1,1,2,4,0,0,0,0,0,0
64,Control,Mobile,Chrome,91.0.4472.88,"Mozilla/5.0 (Linux; U; Android 8.1.0; en-us; CPH1803 Build/OPM1.171019.026) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36 HeyTapBrowser/15.9.4.1.1",1,1,1,1,0,0,0,0,0,0
65,SpeedKit,Mobile,Chrome,94.0.4606.80,"Mozilla/5.0 (Linux; Android 10; GM1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.80 Mobile Safari/537.36",1,0,4,5,0,0,0,0,0,0
66,Control,Mobile,Chrome,116,"Mozilla/5.0 (Linux; Android 12; SM-A032F Build/SP1A.210812.016) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",2,2,2,2,0,0,0,0,0,0
67,SpeedKit,Mobile,Chrome,95.0.4638.74,"Mozilla/5.0 (Linux; Android 5.0; ASUS_Z00AD) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.74 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
68,SpeedKit,Mobile,Chrome,107,"Mozilla/5.0 (Linux; Android 11; vivo 1951) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36",1,1,1,3,2,0,0,0,0,0
69,Control,Mobile,Chrome,91.0.4472.88,"Mozilla/5.0 (Linux; U; Android 13; en-gb; CPH2577 Build/TP1A.220905.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36 HeyTapBrowser/45.9.5.9.1",2,2,2,2,0,0,0,0,0,0
70,Control,Mobile,Chrome,103,"Mozilla/5.0 (Linux; Android 9; Redmi 6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
71,SpeedKit,Desktop,Chrome,103,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1,0,1,1,0,0,0,0,0,0
72,SpeedKit,Mobile,Chrome,98.0.4758.101,"Mozilla/5.0 (Linux; Android 11; V2022) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
73,Control,Mobile,Chrome,99.0.4844.88,"Mozilla/5.0 (Linux; Android 11; vivo 1904) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.88 Mobile Safari/537.36",1,1,1,2,0,0,0,0,0,0
74,Control,Mobile,Chrome,94.0.4606.85,"Mozilla/5.0 (Linux; Android 11; TECNO KG5 Build/RP1A.200720.011) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.85 Mobile Safari/537.36",1,1,1,3,0,0,0,0,0,0
75,SpeedKit,Mobile,Chrome,103.0.5060.129,"Mozilla/5.0 (Linux; Android 11; en; TECNO KG5h Build/SP1A.210812.016) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.129 HiBrowser/v2.9.3.4 UWS/ Mobile Safari/537.36",2,1,2,2,1,0,0,0,0,0
76,SpeedKit,Mobile,Chrome,94.0.4606.85,"Mozilla/5.0 (Linux; Android 11; CPH2373) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.85 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
77,SpeedKit,Mobile,Chrome,108,"Mozilla/5.0 (Linux; Android 11; Infinix X665) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
78,Control,Mobile,Chrome,106,"Mozilla/5.0 (Linux; Android 12; SM-A125F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36",1,0,1,2,0,0,0,0,0,0
79,Control,Mobile,Chrome,79.0.3945.116,"Mozilla/5.0 (Linux; Android 9; INE-LX2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.116 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
80,SpeedKit,Mobile,Chrome,52.0.2743.98,"Mozilla/5.0 (Linux; Android 6.0.1; SM-J210F Build/MMB29Q) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.98 Mobile Safari/537.36",2,1,3,8,0,0,0,0,0,0
81,Control,Mobile,Chrome,116,"Mozilla/5.0 (Linux; Android 10; Infinix X612B Build/QP1A.190711.020) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",1,0,1,2,0,0,0,0,0,0
82,SpeedKit,Mobile,Chrome,108,"Mozilla/5.0 (Linux; Android 10; Nokia 8 Sirocco) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",1,1,1,2,1,0,0,0,0,0
83,Control,Mobile,Chrome,91.0.4472.88,"Mozilla/5.0 (Linux; U; Android 13; en-ie; CPH2251 Build/TP1A.220905.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36 HeyTapBrowser/45.9.5.9.1",1,1,1,1,0,0,0,0,0,0
84,Control,Mobile,Chrome,108,"Mozilla/5.0 (Linux; Android 12; RMX2161) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",1,0,1,2,0,0,0,0,0,0
85,SpeedKit,Mobile,Chrome,101,"Mozilla/5.0 (Linux; Android 13; Pixel 4 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
86,SpeedKit,Mobile,Chrome iOS,116.0.5845.118,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/116.0.5845.118 Mobile/15E148 Safari/604.1",4,4,4,9,2,0,0,0,0,0
87,Control,Mobile,Chrome,96.0.4664.104,"Mozilla/5.0 (Linux; Android 10; SM-G960U1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",1,1,1,4,0,0,0,0,0,0
88,Control,Robot,Chrome,116.0.5845.650,"Mozilla/5.0 (Linux; arm; Android 11; RMX3581) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.650 YaSearchBrowser/23.93.1 BroPP/1.0 YaSearchApp/23.93.1 webOmni SA/3 Mobile Safari/537.36",1,1,1,2,0,0,0,0,0,0
89,Control,Mobile,Chrome,109,"Mozilla/5.0 (Linux; Android 11; moto g(9) power) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36",1,1,2,5,0,0,0,0,0,0
90,SpeedKit,Desktop,Chrome,112,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Mobile Safari/537.36",2,0,2,2,0,0,0,0,0,0
91,SpeedKit,Mobile,Chrome,117,"Mozilla/5.0 (Linux; Android 13; CPH2487 Build/SKQ1.221119.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",1,0,1,4,2,0,0,0,0,0
92,SpeedKit,Mobile,Chrome iOS,110.0.5481.83,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/110.0.5481.83 Mobile/15E148 Safari/604.1",1,1,1,6,2,0,0,0,0,0
93,SpeedKit,Mobile,Edge,112,"Mozilla/5.0 (Linux; Android 10; V2027) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Mobile Safari/537.36 EdgA/112.0.1722.40",1,1,1,1,0,0,0,0,0,0
94,Control,Mobile,Chrome,103,"Mozilla/5.0 (Linux; Android 9; SM-N950F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
95,Control,Mobile,Chrome,109,"Mozilla/5.0 (Linux; Android 11; V2117) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36",1,1,1,5,0,0,0,0,0,0
96,SpeedKit,Robot,Edge,81.0.416.77,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36 Edg/81.0.416.77",1,1,1,1,0,0,0,0,0,0
97,Control,Robot,Chrome,108.0.5355.0,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/108.0.5355.0 Safari/537.36",2,0,2,1,0,0,0,0,0,0
98,Control,Mobile,Chrome,99.0.4844.88,"Mozilla/5.0 (Linux; Android 12; SM-A025U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.88 Mobile Safari/537.36",2,0,2,2,0,0,0,0,0,0
99,SpeedKit,Mobile,Chrome,96.0.4664.104,"Mozilla/5.0 (Linux; Android 12; M2101K9G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
100,Control,Mobile,Chrome,80.0.3987.99,"Mozilla/5.0 (Linux; Android 9; Redmi 8A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.99 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
101,Control,Mobile,Chrome,108,"Mozilla/5.0 (Linux; Android 13; CPH2343) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
102,Control,Mobile,Chrome,91.0.4472.88,"Mozilla/5.0 (Linux; U; Android 11; hi-in; CPH2421 Build/RP1A.200720.011) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36 HeyTapBrowser/45.9.5.1.1",1,1,1,1,0,0,0,0,0,0
103,Control,Mobile,Chrome,94.0.4606.85,"Mozilla/5.0 (Linux; Android 11; TECNO PR651 Build/RP1A.201005.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.85 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
104,Control,Mobile,Chrome,112,"Mozilla/5.0 (Linux; Android 12; Infinix X676C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Mobile Safari/537.36",1,0,1,1,0,0,0,0,0,0
105,SpeedKit,Mobile,Chrome,116.0.5845.650,"Mozilla/5.0 (Linux; arm_64; Android 13; TFY-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.650 YaSearchBrowser/23.93.1 BroPP/1.0 YaSearchApp/23.93.1 webOmni SA/3 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
106,SpeedKit,Mobile,Chrome,101,"Mozilla/5.0 (Linux; Android 9; itel L6005) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
107,SpeedKit,Mobile,Chrome,109,"Mozilla/5.0 (Linux; Android 11; TC57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36",1,1,1,3,1,0,0,0,0,0
108,SpeedKit,Mobile,Chrome,76.0.3809.111,"Mozilla/5.0 (Linux; Android 8.1.0; SM-G610F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.111 Mobile Safari/537.36",1,0,1,1,0,0,0,0,0,0
